article,singular,plural,translation
die,Verteilung,-en,distribution
die,Wiedervereinigung,-en,reunification
der,Witz,-e,joke
der,Abschied,-e,"departure, parting"
die,Benutzung,-en,use
die,Beurteilung,-en,judgement
der,Bewerber,-,applicant
das,Defizit,-e,deficit
die,Einschränkung,-en,restriction
die,Ermittlung,-en,investigation
der,Ertrag,-"e,yield
der,Flur,-e,"hall, corridor"
das,Format,-e,format
der,Held,-en,hero
die,Herstellung,-en,production
der,Kaiser,-,emperor
die,Kammer,-n,small room
die,Kette,-n,chain
die,Kleidung,-en,clothes
die,Kneipe,-n,"pub, bar"
der,Kritiker,-,critic
die,Küste,-n,coast
das,Messer,-,knife
die,Messung,-en,"measuring, measurement"
das,Motto,-s,motto
der,Nutzer,-,user
der,Passagier,-e,passenger
die,Premiere,-n,opening night
die,Probe,-n,"sample, test, rehearsal"
der,Quadratmeter,-,square meter
der,Saal,-",hall
die,Schwäche,-n,weakness
der,Sektor,-en,sector
der,Sprung,-"e,jump
das,Symptom,-e,symptom
das,Tennis,Sg.,tennis
das,Top,-s,top
das,Tuch,-"er,cloth
die,Überraschung,-en,surprise
die,Übersetzung,-en,translation
die,Verbreitung,-en,spread
das,Virus,die Viren,virus
das,Vorhaben,-,"plan, project"
die,Vorlage,-n,"draft, model"
die,Wärme,Sg.,"warmth, heat"
die,Werbung,-en,advertising
die,Wiese,-n,meadow
das,Zelt,-e,tent
der,Anhänger,-,"supporter, trailer"
die,Anzeige,-n,"display, advertisement"
die,Aufklärung,-en,"enlightenment, solution"
die,Auflösung,-en,"dissolving, breaking up"
die,Bestellung,-en,"order, reservation"
der,Bude,-n,boy
das,Bündnis,-se,alliance
die,Burg,-en,castle
der,Dialekt,-e,dialect
die,Durchführung,-en,carrying out
die,Einigung,-en,agreement
die,Einsicht,-en,"view, insight"
das,Gedächtnis,-se,memory
das,Gefängnis,-se,gesture
die,Gleichung,-en,equation
die,Herrschaft,-en,"power, reign"
die,Infrastruktur,-en,infrastructure
der,Katalog,-e,catalogue
die,Meldung,-en,report
die,Mission,-en,mission
die,Mitteilung,-en,"communication, announcement"
die,Nahrung,-en,"nourishment, food"
der,Nebel,-,fog
der,Offizier,-e,officer
die,Oma,-s,grandma
die,Philosophie,-n,philosophy
die,Realisierung,-en,implementation
der,Schein,-e,"light, appearance, certificate"
der,Schnitt,-e,cut
die,Schnittstelle,-n,interface
die,Schulden,Pl.,debt
die,Sehnsucht,-"e,longing
der,Skandal,-e,scandal
das,Stadion,die Stadien,stadium
der,Tipp,-s,"tip, hint"
das,Wiedersehen,-,reunion
die,Wunde,-n,wound
die,Wurzel,-n,root
die,Zeuge,-n,witness
das,Zeugnis,-se,"report, testimonial"
der,Anblick,-e,sight
das,Anliegen,-,request
die,Anpassung,-en,adaptation
der,Anstieg,-e,"rise, increase"
das,Arbeitsamt,-"er,employment office
der,Befehl,-e,order
die,Bereitschaft,-en,willingness
die,Beschwerde,-n,complaint
der,Bogen,-","bow, arc, sheet"
die,Bundesliga,die Bundesligen,national sports division
die,Droge,-n,drug
die,Ehre,-n,honor
das,Eigentum,-"er,property
der,Einzelfall,-"e,"individual, case"
die,Epoche,-n,epoch
der,Erreger,-,"agent, virus, germ"
die,Feststellung,-en,"observation, remark"
die,Formulierung,-en,formulation
das,Gelände,-,"ground, site"
der/die,Geliebte,-,lover
die,Geschwister,-,siblings
das,Gramm,-e,gram
die,Inszenierung,-en,"production, staging"
der,Kapitän,-e,captain
die,Kiste,-n,"box, crate"
der,Knochen,-,bone
der,Kontext,-e,context
das,Kunstwerk,-e,work of art
das,Lebewesen,-,living being
der,Lastkraftwagen,-,truck
der,Lohn,-"e,"wage, pay, reward"
der,Magen,-",stomach
die,Mode,-n,fashion
der,Mörder,-,murderer
die,Öffnung,-en,"opening, hole"
die,Partie,-n,game
das,Rathaus,-"er,town hall
die,Reflexion,-en,reflection
die,Rente,-n,pension
die,Show,-s,show
die,Stiftung,-en,"foundation, institute, donation"
der,Teller,-,plate
die,Unterscheidung,-en,"differentiation, distinction"
die,Version,-en,version
der,Wähler,-,voter
die,Wechselwirkung,-en,interaction
der,Zettel,-,"piece of paper, note"
der,Zins,-en,interest
die,Zone,-n,zone
der,Abbau,-e,"reduction, decline, mining"
die,Agentur,-en,agency
die,Akademie,-n,academy
die,Anfrage,-n,"inquiry, request"
die,Aufführung,-en,performance
die,Auflage,-n,"edition, condition, plating"
der,Ausbau,-e,"extension, consolidation"
der,Bär,-en,bear
das,Bedenken,-,"concern, doubt"
der,Buchstabe,-n,letter
das,Dokument,-e,document
die,Einzelheit,-en,detail
die,Erfüllung,-en,fulfillment
der,Führer,-,"leader, guide"
die,Fusion,-en,"fusion, merger"
der,Geruch,-"e,smell
das,Gleichgewicht,-e,balance
der,Investor,-en,investor
der,Kerl,-e,"fellow, bloke"
die,Kollegin,-nen,colleague
der,Komponist,-en,composer
die,Kurve,-n,curve
das,Labor,-s,laboratory
der,Landkreis,-e,district
das,Märchen,-,fairy tale
das,Mittelalter,Sg.,Middle Ages
das,Möbel,-,piece of furniture
die,Moderne,Sg.,modern age
der,Nerv,-en,nerve
der,Ofen,-","oven, stove"
die,Pflege,Sg.,care
die,Plattform,-en,platform
der,Posten,-,"post, position"
der,Profi,-s,"pro, professional"
das,Regime,-,regime
der,Rock,-"e,"skirt, rock music"
der,Rücktritt,-e,resignation
der,Schrank,-"e,"cabinet, wardrobe"
die,Sekretärin,-nen,secretary
die,Solidarität,-en,solidarity
der,Sportler,-,athlete
die,Stabilität,Sg.,stability
der,Status,-,status
der,Staub,-"e,dust
der,Tanz,-"e,dance
der,Topf,-"e,pot
der,Überblick,-e,"view, overview"
die,Unsicherheit,-en,uncertainty
der,Vorhang,-"e,curtain
der,Winkel,-,"angle, corner"
das,Zitat,-e,"quotation, quote"
das,Abenteuer,-,adventure
die,Abgrenzung,-en,disassociation
der,Akt,-e,act
der,Akteur,-e,"player, actor"
die,Allianz,-en,alliance
die,Armut,Sg.,poverty
der,Ausgleich,-e,"balancing, compensation, change"
die,Begeisterung,-en,enthusiasm
der,Bezirk,-e,district
die,Diagnose,-n,diagnosis
das,Dunkel,Sg.,darkness
der,Durchmesser,-,diameter
die,Einladung,-en,invitation
die,Empfehlung,-en,recommendation
die,Eröffnung,-en,opening
der,Felsen,-,rock
die,Flüssigkeit,-en,liquid
das,Fräulein,-,"young lady, miss"
der,Friedhof,-"e,cemetery
die,Front,-en,front
die,Fülle,-n,abundance
das,Gebirge,-,mountains
das,Geschäftsjahr,-e,financial year
das,Gras,-"er,grass
die,Großstadt,-"e,"city, large town"
der,Hang,-"e,"slope, inclination"
der,Hügel,-,hill
der,Ingenieur,-e,engineer
der,Kongress,-e,"congress, convention"
der,Muskel,-n,muscle
der,Nachweis,-e,"proof, evidence, certificate"
die,Orientierung,-en,orientation
der,Personenkraftwagen,-,"car, auto"
der,Rhythmus,die Rhythmen,rhythm
die,Rücksicht,-en,consideration
der,Senat,-e,senate
die,Steuerung,-en,"control, steering"
der,Stolz,Sg.,pride
die,Teilnahme,-n,participation
das,Universum,die Universen,universe
die,Unterhaltung,-en,"entertainment, conversation"
die,Unterlagen,Pl.,documents
die,Vereinigung,-en,"organization, association, unification"
die,Vertretung,-en,"replacement, substitute"
die,Volkshochschule,-n,adult education center
die,Vorsicht,Sg.,caution
die,Wahrscheinlichkeit,-en,probability
die,Wange,-n,cheek
das,Werkzeug,-e,tool
die,Zeichnung,-en,drawing
die,Zunahme,-n,increase
die,Zwiebel,-n,"onion, bulb"
die,Ablehnung,-en,"refusal, rejection"
die,Abstimmung,-en,"vote, coordination"
die,Anordnung,-en,order
die,Anregung,-en,"stimulus, idea"
der,Aufsatz,-"e,essay
der,Backofen,-",oven
die,Bakterie,-n,bacterium
der,Befund,-e,results
die,Bemühung,-en,effort
der,Beobachter,-,observer
der,Berater,-,"advisor, consultant"
der,Betrachter,-,observer
das,Betriebssystem,-e,operating system
der,Bildschirm,-e,"screen, monitor"
die,Blüte,-n,blossom
die,Brille,-n,glasses
die,Datenverarbeitung,-en,data processing
der,Eigentümer,-,owner
die,Eintragung,Sg.,"entry, registration"
das,Ensemble,-s,ensemble
die,Enttäuschung,-en,disappointment
die,Faust,-"e,fist
das,Festival,-s,festival
die,Galerie,-n,gallery
das,Gemüse,-,vegetables
die,Genehmigung,-en,"approval, permit, permission"
der,Großvater,-",grandfather
die,Grundschule,-n,primary school
der,Hass,Sg.,hatred
die,Höhle,-n,cave
die,Innenstadt,-"e,"town center, downtown"
das,Kloster,-","monastery, convent"
die,Kohle,-n,coal
der,Konsument,-en,consumer
der,Lärm,Sg.,noise
der,Liter,-,liter
das,Lokal,-e,"pub, bar"
die,Malerei,-en,painting
der,Maßstab,-"e,"scale, yardstick, standard"
die,Materie,-n,matter
die,Münze,-n,coin
das,Netzwerk,-e,network
das,Praktikum,die Praktika,internship
der,Rückgang,-"e,"fall, decline"
der,Sack,-"e,sack
der,Schuldner,-,debtor
die,Sportart,-en,"type of sport, discipline"
der,Stamm,-"e,"trunk, stem, tribe"
der,Streifen,-,"stripe, strip"
die,Tasse,-n,cup
der,Teppich,-e,carpet
der,Teufel,-,devil
die,Überprüfung,-en,"screening, check, inspection"
der,Unsinn,Sg.,nonsense
das,Verbot,-e,"ban, prohibition"
die,Vermutung,-en,"assumption, presumption"
die,Versammlung,-en,"meeting, gathering, assembly"
die,Wäsche,-n,"washing, laundry"
die,Werkstatt,-"en,"workshop, garage"
die,Wirtschaftspolitik,-en,economic policy
das,Zeug,-e,stuff
die,Zunge,-n,tongue
der,Zwang,-"e,"force, pressure, compulsion"
das,Antibiotikum,die Antibiotika,antibiotic
die,Anweisung,-en,instruction
der,Anzug,-"e,suit
die,Architektur,-en,architecture
das,Atom,-e,atom
der,Aufstieg,-e,"climb, rise"
der,Ausflug,-"e,"outing, trip"
der,Ausgang,-"e,"exit, outcome, starting point"
die,Ausstattung,-en,"equipment, provision, furnishings"
die,Bearbeitung,-en,"working, handling"
die,Besonderheit,-en,"characteristic, specific, feature"
der,Betracht,Sg.,consideration
die,Biologie,Sg.,biology
die,Breite,-n,width
die,Butter,Sg.,butter
der,Champion,-s,champion
die,Differenzierung,-en,differentiation
der,Dirigent,-en,musical conductor
die,Entdeckung,-en,discovery
die,Erfindung,-en,invention
der,Ersatz,-"e,"replacement, compensation"
die,Feuerwehr,-en,fire brigade
das,Fieber,-,fever
die,Fluggesellschaft,-en,airline
die,Gebühr,-en,fee
das,Gepäck,Sg.,luggage
das,Gerücht,-e,rumor
der,Gesetzgeber,-,"legislator, legislature"
die,Gliederung,-en,"structure, organization"
das,Grab,-"er,grave
der,Grenzwert,-e,"limiting value, limit"
das,Handwerk,-e,"craft, trade"
das,Heft,-e,notebook
der,Helfer,-,"helper, accomplice"
die,Intelligenz,-en,intelligence
der,Jäger,-,hunter
die,Kartoffel,-n,potato
der,Käse,-,cheese
der,Klang,-"e,"sound, tone"
der,Kompromiss,-e,compromise
die,Königin,-nen,queen
die,Konstruktion,-en,"construction, design"
der,Kreislauf,-"e,circulation
die,Kugel,-n,"ball, sphere, bullet"
die,Kuh,-"e,cow
die,Leiche,-n,corpse
die,Leidenschaft,-en,passion
die,Leistungsfähigkeit,-en,"productivity, power"
die,Lieferung,-en,delivery
die,Liga,die Ligen,league
das,Milligramm,-e,milligram
der,Nachwuchs,Sg.,"offspring, new generation"
der,Nacken,-,neck
das,Olympia,Sg.,Olympics
der,Parteitag,-e,"party conference, convention"
die,Party,-s,party
der,Planet,-en,planet
der,Priester,-,priest
die,Problematik,-en,"problematic nature, problems"
die,Rezession,-en,recession
der,Salon,-s,"salon, drawing room"
die,Schauspielerin,-nen,actress
die,Schwangerschaft,-en,pregnancy
der,Schweiß,-e,sweat
die,Skala,-s,"scale, dial, range"
die,Spalte,-n,"fissure, cleft, column"
das,Spektrum,die Spektren,spectrum
die,Steckdose,-n,"socket, electrical outlet"
die,Tafel,-n,"board, table"
das,Tagebuch,-"er,diary
das,Talent,-e,talent
das,Tempo,die Tempi,"pace, speed"
die,Unruhe,-n,"restlessness, agitation"
die,Unterschrift,-en,signature
der,Ursprung,-"e,origin
das,Verbrechen,-,crime
das,Vergnügen,-,pleasure
die,Verhaltensweise,-n,behavior
der,Vermieter,-,landlord
die,Vernunft,Sg.,reason
die,Verordnung,-en,"prescription, order"
die,Villa,Sg.,villa
der,Vormittag,-e,morning
das,Wohnzimmer,-,living room
die,Zerstörung,-en,destruction
der,Zinssatz,Sg.,interest rate
die,Zulassung,-en,"admission, license"
die,Zusammensetzung,-en,composition
die,Abschreibung,-en,"deduction, depreciation"
die,Achse,-n,"axle, axis"
die,Anwesenheit,Sg.,presence
die,Aufregung,-en,excitement
die,Autobahn,-en,"expressway, motorway"
die,Batterie,-n,battery
das,Chaos,Sg.,chaos
die,Chefin,-nen,"director, boss"
der,Chip,-s,"chip, crisp"
der,Chor,-"e,"choir, chorus"
das,Design,-s,design
der,Dolmetscher,-,interpreter
der,Durchschnitt,-e,average
das,Ehepaar,-e,married couple
der,Einbruch,-"e,"break in, collapse"
der,Eintritt,-e,"entry, admission"
die,Erholung,-en,"recovery, relaxation, rest"
der,Europäer,-,European
die,Fabrik,-en,factory
die,Furcht,-"e,fear
die,Geduld,Sg.,patience
der,General,-"e,general
das,Getränk,-e,"drink, beverage"
das,Gewehr,-e,"rifle, shotgun"
das,Glied,-er,"limb, joint, link"
der,Graf,-en,"count, earl"
das,Gremium,die Gremien,committee
die,Gunst,Sg.,"goodwill, favor"
das,Gutachten,-,"report, reference"
der,Handwerker,-,"workman, tradesman"
die,Haustür,-en,front door
die,Hypothese,-n,hypothesis
die,Kassette,-n,"cassette, tape"
der,Kasten,-","box, crate"
der,Kommentar,-e,"comment, opinion"
die,Konzeption,-en,"concept, conception"
die,Kreativität,-en,creativity
das,Magazin,-e,"magazine, storehouse"
der,Marktanteil,-e,market share
die,Maus,-"e,mouse
das,Menschenrecht,-e,human right
der,Mieter,-,tenant
das,Militär,Sg.,military
die,Minderheit,-en,minority
das,Ministerium,die Ministerien,"ministry, department"
der,Mythos,die Mythen,"myth, legend"
die,Naturwissenschaft,-en,natural science
der,Parkplatz,-"e,parking place
die,Partnerschaft,-en,partnership
die,Periode,-n,period
das,Präparat,-e,"preparation, medication"
die,Provinz,-en,"province, provinces"
die,Rahmenbedingung,-en,"prevailing, condition"
der,Regierungschef,-s,head of government
die,Säule,-n,"column, pillar"
die,Scheidung,-en,divorce
die,Schönheit,-en,beauty
der,Spezialist,-en,specialist
die,Steigerung,-en,increase
der,Stellvertreter,-,deputy
die,Subvention,-en,subsidy
das,Ticket,-s,ticket
der,Tunnel,-,tunnel
die,Übersicht,-en,overview
die,Uniform,-en,uniform
das,Unrecht,Sg.,"injustice, wrong"
das,Vitamin,-e,vitamin
die,Volkswirtschaft,Sg.,national economy
die,Vorlesung,-en,lecture
die,Weiterbildung,-en,continuing education
die,Zielsetzung,Sg.,"target, objective"
der,Zucker,-,sugar
das,Abkommen,-,agreement
der,Absolvent,-en,graduate
die,Abwehr,-en,defense
der,Apfel,-",apple
die,Arbeitskraft,-"e,"work capacity, worker"
der,Assistent,-en,assistant
die,Auswertung,-en,"evaluation, analysis"
die,Bar,-s,bar
die,Bedrohung,-en,threat
die,Bekämpfung,-en,"fighting, controlling"
die,Beschränkung,-en,restriction
der,Block,-"e,block
das,Darlehen,-,loan
das,Datum,die Daten,date
die,Erhaltung,-en,"preservation, maintenance"
der,Erzähler,-,"storyteller, narrator"
der,Fachbereich,-e,"academic department, field"
die,Fachleute,Pl.,experts
die,Fakten,Pl.,facts
die,Fassung,-en,"version, composure, frame, socket"
der,Flügel,-,wing
das,Forum,die Foren,"forum, audience, public discussion"
die,Frequenz,-en,frequency
die,Frucht,-"e,fruit
die,Gerechtigkeit,-en,justice
der,Gipfel,-,"peak, summit"
der,Großteil,-e,"large part, majority"
der,Hörer,-,"listener, receiver"
das,Industrieland,-"er,industrialized country
die,Jacke,-n,jacket
die,Jagd,-en,"hunt, chase"
die,Jahreszeit,-en,season
die,Lampe,-n,lamp
die,Linse,-n,lens
die,Lücke,-n,gap
das,Metall,-e,metal
der,Missbrauch,-"e,"abuse, misuse"
die,Motivation,-en,motivation
die,Option,-en,option
der,Ordner,-,file
der,Ozean,-e,ocean
der,Physiker,-,physicist
die,Pistole,-n,pistol
die,Reichweite,-n,"reach, range"
die,Reparatur,-en,repair
der,Respekt,Sg.,respect
die,Rose,-n,rose
der,Rucksack,-"e,"rucksack, backpack"
der,Sänger,-,singer
die,Tablette,-n,"tablet, pill"
die,Tageszeitung,-en,daily newspaper
der,Therapeut,-en,therapist
der,Umzug,-"e,"move, parade"
der,Veranstalter,-,organizer
die,Verknüpfung,-en,"combination, link"
das,Vorfeld,-er,advance
der,Vorgänger,-,predecessor
die,Währung,-en,currency
der,Weltmeister,-,world champion
die,Wut,Sg.,"rage, fury"
die,Zuordnung,-en,"classification, assignment"
der,Zuwachs,-"e,increase
der,Abfall,-"e,"waste, trash"
die,Akte,-n,file
die,Anleihe,-n,"loan, bond, borrowing"
die,Arbeitszeit,-en,working hours
der,Aufsichtsrat,-"e,supervisory board
der,Ausgangspunkt,-e,starting point
die,Ausrichtung,-en,"orientation, organization"
der,Ausweis,-e,identity card
die,Beachtung,Sg.,"attention, consideration"
das,Diplom,-e,"degree, diploma"
der,Einblick,-e,insight
der,Engel,-,angel
die,Erfassung,-en,"recording, entry"
die,Fahne,-n,flag
die,Fakultät,-en,faculty
die,Fassade,-n,"facade, front"
die,Feier,-n,celebration
der,Frühling,-e,spring
der,Gemeinderat,Sg.,district council
das,Gewebe,-,"fabric, tissue"
der,Gruß,-"e,greeting
der,Jurist,-en,"jurist, law student"
die,Kerze,-n,candle
der,Koch,-"e,cook
die,Kommune,-n,"municipality, local authority"
die,Koralle,-n,coral
die,Krankenkasse,-n,"health insurance, company"
der,Kunststoff,-e,"synthetic material, plastic"
die,Landesregierung,-en,state government
die,Laune,-n,mood
das,Nahrungsmittel,-,food
der,Philosoph,-en,philosopher
der,Prinz,-en,prince
das,Profil,-e,profile
die,Relation,-en,"appropriateness, proportion, relation"
das,Riff,-e,reef
die,Schlange,-n,"snake, line"
das,Schwein,-e,pig
die,Selbstständigkeit,Sg.,independence
die,Siedlung,-en,"settlement, housing development"
der,Spruch,-"e,"saying, slogan"
die,Stellungnahme,-n,"opinion, statement"
der,Strahl,-en,"ray, beam"
die,Strömung,-en,"current, trend"
die,Verbindlichkeit,Sg.,"obligation, liability, reliability"
das,Volumen,-,"volume, total amount"
der,Zugriff,-e,access
der,Zuhörer,-,"listener, audience"
